id,char,gender,genre,title,line_count,pkey
395,CIA memo on Oswald's activities in,NA,Thriller,jfk,30,cia_memo_on_oswald's_activities_in-jfk
396,IKE,,Drama,tombstone,71,ike-tombstone
397,GIRL,F,Action,fifthelementthe,34,girl-fifthelementthe
398,CONTINUED:,NA,Comedy,beginners,85,continued:-beginners
399,JENSEN,,Adventure,losersthe,389,jensen-losersthe
400,GLASS,,Thriller,ticker,363,glass-ticker
401,BUDLY,,Comedy,pineappleexpress,56,budly-pineappleexpress
402,HELEN,F,Romance,crash,122,helen-crash
403,YUPPIE SCUM,,Drama,fourrooms,30,yuppie_scum-fourrooms
404,GISBORNE,,Adventure,robinhoodprinceofthieves,125,gisborne-robinhoodprinceofthieves
405,MONICA,F,Drama,aptpupil,68,monica-aptpupil
406,(CONTINUED),NA,Horror,jennifersbody,208,(continued)-jennifersbody
407,PETER,M,Family,threemenandababy,1623,peter-threemenandababy
408,ELAINE,F,Action,48hrs,227,elaine-48hrs
409,SILENT BOB,M,Adventure,jayandsilentbobstrikeback,22,silent_bob-jayandsilentbobstrikeback
410,PETIT OMAR,,Drama,battleofalgiersthe,23,petit_omar-battleofalgiersthe
411,JEREMY,M,Mystery,sdarko,303,jeremy-sdarko
412,LIANE,,Comedy,haroldandkumargotowhitecastle,44,liane-haroldandkumargotowhitecastle
413,MARK,M,Drama,observeandreport,195,mark-observeandreport
414,ELI'S VOICE,,Thriller,stuntmanthe,27,eli's_voice-stuntmanthe
415,FRAN,,Drama,flight,57,fran-flight
416,MARCUS,,Sci-Fi,terminatorsalvation,389,marcus-terminatorsalvation
417,BRIDGET,,Romance,battleofshakerheightsthe,27,bridget-battleofshakerheightsthe
418,WAYNE,M,Action,darkknightrisesthe,508,wayne-darkknightrisesthe
419,TANK,M,Action,matrixthe,192,tank-matrixthe
420,LISA,F,Thriller,antitrust,234,lisa-antitrust
421,BERGMAN (cont'd),,Drama,heist,39,bergman_(cont'd)-heist
422,QUEEN,F,Comedy,shakespeareinlove,127,queen-shakespeareinlove
423,CLAIRE,F,Drama,whatliesbeneath,1129,claire-whatliesbeneath
424,HAZEL,F,Romance,faultinourstarsthe,1290,hazel-faultinourstarsthe
425,SHERMAN,,Mystery,thunderheart,28,sherman-thunderheart
426,TICK,,Mystery,strangedays,78,tick-strangedays
427,SARA,F,Action,abovethelaw,54,sara-abovethelaw
428,BUZZ,,Fantasy,hudsuckerproxythe,142,buzz-hudsuckerproxythe
429,"""PAT MORITA""",NA,Family,megamind,100,"""pat_morita""-megamind"
430,KELLY,M,Drama,battleofshakerheightsthe,1033,kelly-battleofshakerheightsthe
431,CARL,,Comedy,breakfastclubthe,70,carl-breakfastclubthe
432,FUJIMA,,Action,miamivice,122,fujima-miamivice
433,RICHARD,M,Comedy,fromdusktilldawn,292,richard-fromdusktilldawn
434,DOUG,M,Comedy,stateandmain,306,doug-stateandmain
435,GIRL,F,Drama,fifthelementthe,34,girl-fifthelementthe
436,DARKMAN,M,Thriller,darkman,63,darkman-darkman
437,FATHER HOMEIJER,M,Crime,sdarko,57,father_homeijer-sdarko
438,MORGAN,,Western,tombstone,135,morgan-tombstone
439,PAUL,M,Sci-Fi,dune,733,paul-dune
440,HARTMAN,,Romance,hisgirlfriday,458,hartman-hisgirlfriday
441,GRANDMOTHER,F,Mystery,prophecythe,23,grandmother-prophecythe
442,AVERY,,Romance,jerrymaguire,169,avery-jerrymaguire
443,BURDON,,Thriller,islandthe,30,burdon-islandthe
444,LIEUTENANT,,Western,searchersthe,47,lieutenant-searchersthe
445,NIKKO,,Thriller,copycat,100,nikko-copycat
446,SLUM LANDLORD,,Fantasy,perfectcreature,23,slum_landlord-perfectcreature
447,VOICE,,Mystery,losthighway,22,voice-losthighway
448,BOB,M,Horror,jaws2,48,bob-jaws2
449,JUDGE,,Drama,allthekingsmen,122,judge-allthekingsmen
450,ADMINISTRATOR,M,Mystery,changeling,22,administrator-changeling
451,ELLEN BLOCK,,Drama,flight,233,ellen_block-flight
452,GENERAL MARSHALL,,Romance,pearlharbor,32,general_marshall-pearlharbor
453,MARTIN,,Thriller,takinglives,33,martin-takinglives
454,FISCHER,,Action,inception,183,fischer-inception
455,TRAUTMAN,,Action,rambofirstbloodiithemission,204,trautman-rambofirstbloodiithemission
456,RAY,,Crime,bountyhunterthe,28,ray-bountyhunterthe
457,MRS. PILLETTI,F,Drama,marty,384,mrs._pilletti-marty
458,SAM (cont'd),M,Fantasy,lordoftheringsreturnoftheking,63,sam_(cont'd)-lordoftheringsreturnoftheking
459,SERGEANT AT ARMS,,Crime,afewgoodmen,32,sergeant_at_arms-afewgoodmen
460,SUSAN,F,Crime,copycat,40,susan-copycat
461,FRIEND 4,,Sci-Fi,waroftheworlds,24,friend_4-waroftheworlds
462,BONANNO,,Comedy,crimespree,93,bonanno-crimespree
463,SAM,,Drama,stuntmanthe,218,sam-stuntmanthe
464,SOCKHEAD,,Sci-Fi,freaked,34,sockhead-freaked
465,ALICE,F,Drama,adaptation,64,alice-adaptation
466,GORDON,,Drama,croupier,29,gordon-croupier
467,JEANNE'S MOTHER,F,Drama,lasttangoinparis,41,jeanne's_mother-lasttangoinparis
468,JABBA,,Action,starwarsanewhope,39,jabba-starwarsanewhope
469,RENFRO,,Action,fugitivethe,107,renfro-fugitivethe
470,FRANK,M,Romance,fabulousbakerboysthe,1588,frank-fabulousbakerboysthe
471,LYNN,,Drama,laconfidential,261,lynn-laconfidential
472,ALEX,M,Drama,hesjustnotthatintoyou,364,alex-hesjustnotthatintoyou
473,MARTY,,Romance,coolerthe,23,marty-coolerthe
474,SYLVIE,,Comedy,charade,89,sylvie-charade
475,KING (V.0.),,Thriller,bladetrinity,23,king_(v.0.)-bladetrinity
476,JOHN,M,Romance,marleyme,651,john-marleyme
477,VOICE,,Thriller,deepcover,25,voice-deepcover
478,REPORTER #1,,Action,boondocksaints2allsaintsday,39,reporter_#1-boondocksaints2allsaintsday
479,DIRECTOR GRACE,,Action,kingdomthe,126,director_grace-kingdomthe
480,TAPP,,Crime,saw,149,tapp-saw
481,LUCY,F,Adventure,despicableme2,327,lucy-despicableme2
482,HOST,,Mystery,strangedays,25,host-strangedays
483,TRENT,,Romance,youthinrevolt,36,trent-youthinrevolt
484,CONTINUED:,NA,Mystery,redridinghood,76,continued:-redridinghood
485,ZOEY,F,Fantasy,christcomplex,608,zoey-christcomplex
486,IRENA,,Adventure,waybackthe,45,irena-waybackthe
487,COURFEYRAC,,Drama,lesmiserables,37,courfeyrac-lesmiserables
488,ASHER,,Horror,bladetrinity,25,asher-bladetrinity
489,DUNKIN DONUTS CASHIER,,Romance,yesman,25,dunkin_donuts_cashier-yesman
490,BISHOP,,Horror,aliens,145,bishop-aliens
491,STAN,,Sci-Fi,eternalsunshineofthespotlessmind,192,stan-eternalsunshineofthespotlessmind
492,FAITH,,Mystery,strangedays,204,faith-strangedays
493,HOST,,Action,strangedays,25,host-strangedays
494,LEAVITT,,Thriller,kingdomthe,47,leavitt-kingdomthe
495,VOICES,,Romance,anniehall,26,voices-anniehall
496,WORF,,Drama,startreknemesis,117,worf-startreknemesis
497,OPERATOR,,Crime,aliennation,38,operator-aliennation
498,NURSE DEVINE,,Drama,hospitalthe,27,nurse_devine-hospitalthe
499,DIVA,F,Comedy,fifthelementthe,36,diva-fifthelementthe
500,FRAN (cont'd),F,Crime,heist,41,fran_(cont'd)-heist
501,JAVIER,M,Romance,brokenembraces,24,javier-brokenembraces
502,THE CAPTAIN,M,Mystery,citizenkane,30,the_captain-citizenkane
503,CAROL,F,Romance,hannahandhersisters,41,carol-hannahandhersisters
504,CORONER,F,Crime,insomnia,21,coroner-insomnia
505,ETHAN,M,Western,searchersthe,765,ethan-searchersthe
506,SENATOR MALCOLM,M,Drama,minorityreport,67,senator_malcolm-minorityreport
507,JEREMY,M,Sci-Fi,sdarko,303,jeremy-sdarko
508,JEN,F,Thriller,super8,40,jen-super8
509,BREE,F,Thriller,klute,989,bree-klute
510,BTT,M,Comedy,snatch,327,btt-snatch
511,DIETER,M,Romance,readerthe,82,dieter-readerthe
512,SONNY,M,Drama,godfatherpartii,21,sonny-godfatherpartii
513,TIGRESS,F,Comedy,kungfupanda,109,tigress-kungfupanda
514,ANNIE,F,Comedy,anniehall,1362,annie-anniehall
515,ARN,M,Action,irobot,30,arn-irobot
516,KRISTEL,F,Adventure,cliffhanger,87,kristel-cliffhanger
517,CARA,F,Thriller,touristthe,404,cara-touristthe
518,ATASHIR,M,Comedy,hangoverthe,26,atashir-hangoverthe
519,GIRL,F,Film-Noir,sweetsmellofsuccess,21,girl-sweetsmellofsuccess
520,MAN,M,Drama,fourrooms,113,man-fourrooms
521,NURSE RANDALL,F,Drama,mygirl,23,nurse_randall-mygirl
522,DR. MONTGOMERY,M,Drama,changeling,28,dr._montgomery-changeling
523,GLADYS,F,Crime,manhattanmurdermystery,34,gladys-manhattanmurdermystery
524,LYMAN,M,Drama,starman,69,lyman-starman
525,RAMONA,F,Comedy,scottpilgrimvstheworld,218,ramona-scottpilgrimvstheworld
526,STRIDER,M,Adventure,lordoftheringsfellowshipoftheringthe,103,strider-lordoftheringsfellowshipoftheringthe
527,DETECTIVE NEAL DOMGAARD,M,Drama,mulhollanddrive,53,detective_neal_domgaard-mulhollanddrive
528,TESS,F,Comedy,dropdeadgorgeous,32,tess-dropdeadgorgeous
529,ZUZU,F,Family,itsawonderfullife,25,zuzu-itsawonderfullife
530,LONG,M,Crime,jfk,65,long-jfk
531,ELAINE'S VOICE,F,Comedy,graduatethe,26,elaine's_voice-graduatethe
532,WILLY,M,Drama,backdraft,32,willy-backdraft
533,HENRY,M,Fantasy,frankenstein,227,henry-frankenstein
534,SOKAL,M,Drama,cincinnatikidthe,52,sokal-cincinnatikidthe
535,MARGARET,F,Action,getcarter,67,margaret-getcarter
536,PISCANMOTHER,F,Crime,casino,51,piscanmother-casino
537,FRANK D'IGNAZIO,M,Thriller,minorityreport,65,frank_d'ignazio-minorityreport
538,GLORIA,F,Horror,heavymetal,41,gloria-heavymetal
539,EGYPTOLOGIST,M,Horror,mummythe,33,egyptologist-mummythe
540,LUISA,F,Romance,nine,128,luisa-nine
541,GENERAL SLATER,M,Drama,fromheretoeternity,26,general_slater-fromheretoeternity
542,MR. GIBBONS,M,Horror,finaldestination2,39,mr._gibbons-finaldestination2
543,DON PRICE,M,Comedy,bigfish,34,don_price-bigfish
544,THORKEL,M,Sci-Fi,spiderman,123,thorkel-spiderman
545,BURT,M,Thriller,memento,85,burt-memento
546,DJ,M,Sci-Fi,eventhorizon,140,dj-eventhorizon
547,ED'S VOICE,M,Drama,edwood,27,ed's_voice-edwood
548,LOUNDS,M,Thriller,manhunter,111,lounds-manhunter
549,(BEAT),NA,Family,sandlotkidsthe,196,(beat)-sandlotkidsthe
550,BIALYSTOCK AND BLOOM,M,Musical,producerthe,30,bialystock_and_bloom-producerthe
551,MRS. MUNSON,F,Comedy,ladykillersthe,511,mrs._munson-ladykillersthe
552,CODY,M,Drama,lonestar,41,cody-lonestar
553,CLERK,M,Thriller,fatalinstinct,22,clerk-fatalinstinct
554,JOEL,M,Thriller,scream2,57,joel-scream2
555,ANDREA,F,Drama,butterflyeffectthe,211,andrea-butterflyeffectthe
556,FIRST POLICEMAN,M,Thriller,mutewitness,37,first_policeman-mutewitness
557,GIGI,F,Comedy,hesjustnotthatintoyou,682,gigi-hesjustnotthatintoyou
558,L.C.,,Drama,fasttimesatridgemonthigh,36,l.c.-fasttimesatridgemonthigh
559,LIEUTENANT COLONEL,M,Romance,fromheretoeternity,24,lieutenant_colonel-fromheretoeternity
560,LIEUTENANT GLASER,M,Crime,minorityreport,38,lieutenant_glaser-minorityreport
561,CONDUCTOR,M,Drama,stingthe,26,conductor-stingthe
562,KIRKHILL,M,Action,rambofirstbloodiithemission,263,kirkhill-rambofirstbloodiithemission
563,LARRY,M,Comedy,election,51,larry-election
564,LUCIFER,M,Thriller,prophecythe,86,lucifer-prophecythe
565,RAYMOND,M,Action,metro,43,raymond-metro
566,GRIMSRUD,M,Thriller,fargo,34,grimsrud-fargo
567,WOMAN,F,Action,logansrun,23,woman-logansrun
568,CARL ELWAY,M,Crime,americanhustle,61,carl_elway-americanhustle
569,HARRIET,F,Thriller,soimarriedanaxemurderer,589,harriet-soimarriedanaxemurderer
570,DR. LECTER,M,Crime,silenceofthelambs,574,dr._lecter-silenceofthelambs
571,BILL,M,Drama,edwardscissorhands,54,bill-edwardscissorhands
572,ASMINE walking through the street.),F,Family,aladdin,22,asmine_walking_through_the_street.)-aladdin
573,"NARRATOR: The next day, after school, I went to",,Mystery,whiteribbonthe,23,"narrator:_the_next_day,_after_school,_i_went_to-whiteribbonthe"
574,ANNA,F,Drama,nottinghill,667,anna-nottinghill
575,PAUL (voice over),M,Comedy,manhattanmurdermystery,50,paul_(voice_over)-manhattanmurdermystery
576,BILLY,M,Crime,bonnieandclyde,23,billy-bonnieandclyde
577,MAYOR,M,Comedy,stateandmain,95,mayor-stateandmain
578,CHARLES,M,Crime,observeandreport,81,charles-observeandreport
579,STEPHANIE,F,Romance,nine,69,stephanie-nine
580,CAB DRIVER,M,Comedy,arsenicandoldlace,52,cab_driver-arsenicandoldlace
581,MATT,M,Thriller,gravity,519,matt-gravity
582,JUDGE FELDMAN,M,Drama,fracture,38,judge_feldman-fracture
583,PETERS,F,Sci-Fi,eventhorizon,246,peters-eventhorizon
584,ZACK,M,Thriller,lifeofdavidgalethe,352,zack-lifeofdavidgalethe
585,EVAN,M,Adventure,cliffhanger,21,evan-cliffhanger
586,STEELE,,Adventure,castaway,23,steele-castaway
587,FARAMIR,M,Fantasy,lordoftheringsthetwotowers,27,faramir-lordoftheringsthetwotowers
588,TRINITY,F,Action,matrixthe,336,trinity-matrixthe
589,SYLVIA,F,Comedy,dogdayafternoon,152,sylvia-dogdayafternoon
590,SYKES,F,Drama,smokinaces,226,sykes-smokinaces
591,ADAM,M,Comedy,verybadthings,390,adam-verybadthings
592,VOLUMNIA,F,Thriller,coriolanus,71,volumnia-coriolanus
593,CRABBY,M,Animation,cars2,25,crabby-cars2
594,BUNUEL,M,Drama,henryfool,70,bunuel-henryfool
595,KRUGER,M,Sci-Fi,airplane2thesequel,91,kruger-airplane2thesequel
596,GUDGE,M,Crime,ladykillersthe,32,gudge-ladykillersthe
597,ADRIAN,M,Sci-Fi,2012,344,adrian-2012
598,HIGHWAY PATROLMAN,M,Drama,fearandloathinginlasvegas,35,highway_patrolman-fearandloathinginlasvegas
599,EXECUTIVE 1,M,Drama,simone,21,executive_1-simone
600,LENA,F,Thriller,thelmalouise,24,lena-thelmalouise
601,ANGLO MOTHER,F,Crime,lonestar,26,anglo_mother-lonestar
602,CASINO EMPLOYEE,M,Drama,smokinaces,38,casino_employee-smokinaces
603,JENNY,F,Fantasy,bigfish,239,jenny-bigfish
604,KAY-EM 14,F,Action,jasonx,230,kay-em_14-jasonx
605,HIK,,Adventure,dragonslayer,69,hik-dragonslayer
606,KUATO,M,Adventure,totalrecall,72,kuato-totalrecall
607,CHARLES,M,Mystery,super8,446,charles-super8
608,DAVID,M,Sci-Fi,prometheus,247,david-prometheus
609,HULL,M,Comedy,beingthere,26,hull-beingthere
610,DAVID 0. SELZNICK,M,Drama,rko281,22,david_0._selznick-rko281
611,HENRYK,M,War,pianistthe,178,henryk-pianistthe
612,ELROND (cont'd),M,Adventure,lordoftheringsreturnoftheking,24,elrond_(cont'd)-lordoftheringsreturnoftheking
613,HAM,M,Drama,sandlotkidsthe,160,ham-sandlotkidsthe
614,MATT (cont'd),M,Sci-Fi,hollowman,36,matt_(cont'd)-hollowman
615,SALLAH,M,Adventure,indianajonesandtheraidersofthelostark,76,sallah-indianajonesandtheraidersofthelostark
616,HOOKER,F,Comedy,stingthe,609,hooker-stingthe
617,JOHN,M,Horror,whenastrangercalls,180,john-whenastrangercalls
618,BIGGS,M,Thriller,bodyofevidence,99,biggs-bodyofevidence
619,SCHERNER,M,War,schindlerslist,39,scherner-schindlerslist
620,NIKOLAI,M,Comedy,jennifersbody,124,nikolai-jennifersbody
621,MRS. LEFFERTS,F,Drama,laconfidential,65,mrs._lefferts-laconfidential
622,STANLEY,M,Comedy,manonthemoon,68,stanley-manonthemoon
623,ROSA'S MOTHER,F,Romance,lasttangoinparis,85,rosa's_mother-lasttangoinparis
624,RAMONA,F,Crime,intolerablecruelty,53,ramona-intolerablecruelty
625,SZPILMAN,M,Drama,pianistthe,446,szpilman-pianistthe
626,CHET,M,Thriller,lastboyscoutthe,39,chet-lastboyscoutthe
627,CHLOE,F,Comedy,trumanshowthe,108,chloe-trumanshowthe
628,LUCINDA'S SON,M,Western,tombstone,21,lucinda's_son-tombstone
629,BEN,M,Comedy,hesjustnotthatintoyou,280,ben-hesjustnotthatintoyou
630,NARRATOR,M,Romance,moonrisekingdom,70,narrator-moonrisekingdom
631,SHORT SCIENTIST,M,Adventure,losersthe,62,short_scientist-losersthe
632,GOYAL,M,Thriller,touristthe,44,goyal-touristthe
633,MIKE,M,Adventure,whitesquall,83,mike-whitesquall
634,ROK,M,Sci-Fi,airplane2thesequel,35,rok-airplane2thesequel
635,PAUL,M,Music,doorsthe,62,paul-doorsthe
636,MR. MILLER,M,Fantasy,butterflyeffectthe,91,mr._miller-butterflyeffectthe
637,MARKE,M,Romance,tristanandisolde,135,marke-tristanandisolde
638,JEAN,F,Fantasy,jacketthe,24,jean-jacketthe
639,MALCOLM X,M,Drama,ali,176,malcolm_x-ali
640,PRIVATE MILLER,M,Comedy,pineappleexpress,23,private_miller-pineappleexpress
641,WAYNE SCOTT,M,Action,megamind,89,wayne_scott-megamind
642,ARAMIS,M,Drama,manintheironmask,430,aramis-manintheironmask
643,MAX,M,Crime,losersthe,239,max-losersthe
644,BLURR,M,Action,transformersthemovie,21,blurr-transformersthemovie
645,SIMON,M,Romance,autumninnewyork,104,simon-autumninnewyork
646,DR. GELLER,M,Comedy,edtv,34,dr._geller-edtv
647,MR. DUDLEY,M,Horror,hauntingthe,57,mr._dudley-hauntingthe
648,JACK,M,Romance,airplane,26,jack-airplane
649,YOUNG WOMAN,F,Romance,broadcastnews,47,young_woman-broadcastnews
650,GIBBS,M,Action,piratesofthecaribbeandeadmanschest,232,gibbs-piratesofthecaribbeandeadmanschest
651,GREER,M,Adventure,ghostship,325,greer-ghostship
652,AL,M,Action,breakdown,29,al-breakdown
653,MOTHER,F,Drama,vforvendetta,62,mother-vforvendetta
654,HUDD,M,Drama,gangrelated,21,hudd-gangrelated
655,BOBBY,M,Comedy,backupplanthe,204,bobby-backupplanthe
656,EASTER,F,Drama,meetjoeblack,78,easter-meetjoeblack
657,GREGOIRE,M,Drama,hotelrwanda,39,gregoire-hotelrwanda
658,WISHFUL,F,Animation,happyfeet,87,wishful-happyfeet
659,COMPUTER VOICE,,Thriller,jasonx,25,computer_voice-jasonx
660,LEBI,M,Mystery,biglebowskithe,167,lebi-biglebowskithe
661,PADICHE,M,Drama,smokinaces,98,padiche-smokinaces
662,DISSOLVE TO:,NA,Drama,perfectcreature,122,dissolve_to:-perfectcreature
663,MARY LAZARUS,F,Musical,sisteract,115,mary_lazarus-sisteract
664,CORRADO,M,Thriller,avventuraltheadventure,150,corrado-avventuraltheadventure
665,DAPPER GENT,M,Action,ronin,25,dapper_gent-ronin
666,COFFEY,M,Action,abyssthe,141,coffey-abyssthe
667,JEREMY,M,Thriller,unbreakable,86,jeremy-unbreakable
668,NAT,F,Thriller,takeshelter,25,nat-takeshelter
669,RED DOG,M,Comedy,almostfamous,22,red_dog-almostfamous
670,CLAY,M,Action,hellboy,82,clay-hellboy
671,GUARD,M,Crime,midnightexpress,26,guard-midnightexpress
672,REF,M,Comedy,replacementsthe,38,ref-replacementsthe
673,DUSTY,M,Crime,sdarko,32,dusty-sdarko
674,DEANNA,F,Drama,godfatherpartii,59,deanna-godfatherpartii
675,MR. BOATS,M,Drama,americansplendor,42,mr._boats-americansplendor
676,JIMMY PIG,M,Action,soldier,47,jimmy_pig-soldier
677,JEN,F,Drama,burningannie,24,jen-burningannie
678,ALLISON,F,Horror,hellraiserhellseeker,216,allison-hellraiserhellseeker
679,CHARLIE,M,Drama,blackrain,241,charlie-blackrain
680,PATCHETT,M,Mystery,laconfidential,108,patchett-laconfidential
681,LION,M,Adventure,wizardofozthe,328,lion-wizardofozthe
682,RACHEL,F,Mystery,hanna,36,rachel-hanna
683,KELLY,F,Thriller,fugitivethe,28,kelly-fugitivethe
684,CHARLOTTE,F,Drama,autumninnewyork,903,charlotte-autumninnewyork
685,MONICA,F,Drama,confessionsofadangerousmind,28,monica-confessionsofadangerousmind
686,ANNOUNCER,M,Comedy,hudsuckerproxythe,39,announcer-hudsuckerproxythe
687,GALE,F,Horror,scream2,296,gale-scream2
688,BLANE,M,Drama,spartan,27,blane-spartan
689,MANTIS,M,Comedy,kungfupanda,47,mantis-kungfupanda
690,JERRY'S VOICE,M,Drama,jerrymaguire,124,jerry's_voice-jerrymaguire
691,A.D.,F,Drama,battleofshakerheightsthe,43,a.d.-battleofshakerheightsthe
692,MR. WILLIS,M,Horror,houseof1000corpses,106,mr._willis-houseof1000corpses
693,GIRL,F,Thriller,brokenembraces,22,girl-brokenembraces
694,LAMA SU,M,Fantasy,starwarsattackoftheclones,89,lama_su-starwarsattackoftheclones
695,BMAN,M,Action,feast,144,bman-feast
696,MR. GIVINGS,M,Romance,revolutionaryroad,30,mr._givings-revolutionaryroad
697,KARLA (cont'd),F,Horror,istillknowwhatyoudidlastsummer,45,karla_(cont'd)-istillknowwhatyoudidlastsummer
698,SARAH,F,Comedy,intolerablecruelty,92,sarah-intolerablecruelty
699,TRACY,F,Horror,roommatethe,42,tracy-roommatethe
700,OTTO,M,Sci-Fi,repoman,460,otto-repoman
701,WAITRESS,F,Fantasy,jacketthe,154,waitress-jacketthe
702,SHELLEY,F,Mystery,gothika,104,shelley-gothika
703,MISS SELLERS,F,Thriller,bodyofevidence,46,miss_sellers-bodyofevidence
704,TRAVIS (CONTD),M,Crime,taxidriver,35,travis_(contd)-taxidriver
705,ELLIS LOEW,M,Drama,blackdahliathe,97,ellis_loew-blackdahliathe
706,DUFFY,,Drama,boondocksaints2allsaintsday,116,duffy-boondocksaints2allsaintsday
707,CHON,,Romance,brokenembraces,102,chon-brokenembraces
708,DMITRI,,Drama,lordofwar,53,dmitri-lordofwar
709,CAMEL,,Romance,waterforelephants,35,camel-waterforelephants
710,WAITER,,Comedy,inventionoflyingthe,38,waiter-inventionoflyingthe
711,QUANTZ,,Adventure,tronlegacy,24,quantz-tronlegacy
712,MARANDINO,,Drama,badcountry,94,marandino-badcountry
713,MULLR0Y,,Adventure,piratesofthecaribbean,31,mullr0y-piratesofthecaribbean
714,REGGIE'S VOICE,M,Thriller,charade,46,reggie's_voice-charade
715,TIDWELL,,Romance,jerrymaguire,432,tidwell-jerrymaguire
716,NURSE,,Horror,perfectcreature,32,nurse-perfectcreature
717,NAIR,,War,fromheretoeternity,40,nair-fromheretoeternity
718,BANK MANAGER,,Drama,killingzoe,27,bank_manager-killingzoe
719,CATHERINE,F,Drama,storytelling,34,catherine-storytelling
720,NEFF'S VOICE,,Drama,doubleindemnity,341,neff's_voice-doubleindemnity
721,AHMED,,Thriller,babel,141,ahmed-babel
722,HAWKINS,,Sci-Fi,predator,31,hawkins-predator
723,BENVOLIO,,Crime,romeojuliet,121,benvolio-romeojuliet
724,STAGE AGENT,,Western,tallinthesaddle,33,stage_agent-tallinthesaddle
725,BATMAN,M,Crime,darkknightrisesthe,143,batman-darkknightrisesthe
726,AXE,,Drama,backdraft,178,axe-backdraft
727,SECURITY TFM,,Drama,fightclub,28,security_tfm-fightclub
728,LORRAINE,F,Horror,insidious,95,lorraine-insidious
729,RAMON,,Drama,musicoftheheart,46,ramon-musicoftheheart
730,GENERAL,,War,battleofalgiersthe,32,general-battleofalgiersthe
731,(YELLING),NA,Comedy,silverliningsplaybook,58,(yelling)-silverliningsplaybook
732,PASTOR KRAUSE,,Crime,machinegunpreacher,26,pastor_krause-machinegunpreacher
733,DEATH,,Comedy,monkeybone,83,death-monkeybone
734,LIONEL,M,Crime,confidence,24,lionel-confidence
735,ROSALIE,F,Fantasy,twilightnewmoon,45,rosalie-twilightnewmoon
736,REX,,Fantasy,toystory,146,rex-toystory
737,TRACY,,Thriller,hangoverthe,53,tracy-hangoverthe
738,INT. VALERIE'S FRONT ROOM. DAY,NA,Thriller,shifty,30,int._valerie's_front_room._day-shifty
739,LUKE,M,Action,starwarstheempirestrikesback,398,luke-starwarstheempirestrikesback
740,MEKUM/VIDEO IMAGE,,Action,soldier,33,mekum/video_image-soldier
741,MISS ADRIAN,F,Romance,evencowgirlsgettheblues,98,miss_adrian-evencowgirlsgettheblues
742,A AS JULIET,,Comedy,shakespeareinlove,26,a_as_juliet-shakespeareinlove
743,POOMINA,,Drama,cityofjoy,26,poomina-cityofjoy
744,MUDDY,,Comedy,beavisandbuttheaddoamerica,85,muddy-beavisandbuttheaddoamerica
745,ELLE,F,Drama,candletowater,56,elle-candletowater
746,VUKOVICH,,Romance,terminator,147,vukovich-terminator
747,DRUMGO,,Horror,hannibal,30,drumgo-hannibal
748,SYKES,,Crime,smokinaces,226,sykes-smokinaces
749,SAMANTHA,F,Thriller,obsessed,34,samantha-obsessed
750,WILKINSON,,Comedy,replacementsthe,25,wilkinson-replacementsthe
751,DANNY,M,Comedy,oceanstwelve,458,danny-oceanstwelve
752,GEORGE,M,Comedy,pleasantville,134,george-pleasantville
753,FRED (cont'd),M,Drama,insomnia,29,fred_(cont'd)-insomnia
754,JACK,M,Drama,boogienights,645,jack-boogienights
755,DANIELS,,Action,mummythe,55,daniels-mummythe
756,SARAH,F,Thriller,jacobsladder,43,sarah-jacobsladder
757,JACKIE KENNEDY,F,Mystery,jfk,109,jackie_kennedy-jfk
758,DENISE,F,Comedy,stuntmanthe,76,denise-stuntmanthe
759,JUAN,,Mystery,tallinthesaddle,43,juan-tallinthesaddle
760,KAI,,Animation,frozendisney,32,kai-frozendisney
761,STRANGER,,Crime,stingthe,63,stranger-stingthe
762,NILSEN,,Thriller,basicinstinct,29,nilsen-basicinstinct
763,AGENT HADLEY,,Crime,crimespree,215,agent_hadley-crimespree
764,DOC RIDING,M,Mystery,tallinthesaddle,52,doc_riding-tallinthesaddle
765,JACK,M,Drama,42,230,jack-42
766,AUNT BARBARA,F,Thriller,bluevelvet,38,aunt_barbara-bluevelvet
767,(OVER RADIO),NA,Crime,darkknightrisesthe,29,(over_radio)-darkknightrisesthe
768,DREW,M,Comedy,newyorkminute,765,drew-newyorkminute
769,MORRISON,,Sci-Fi,terminatorsalvation,40,morrison-terminatorsalvation
770,MIKE,M,Horror,jaws2,186,mike-jaws2
771,"O'Ryan lunges forward like an animal, throwing his cuffed",NA,Drama,suspectzero,22,"o'ryan_lunges_forward_like_an_animal,_throwing_his_cuffed-suspectzero"
772,JIGSAW,,Mystery,saw,166,jigsaw-saw
773,DIETRICH,,Thriller,faceoff,60,dietrich-faceoff
774,BETH,F,Comedy,celestejesseforever,83,beth-celestejesseforever
775,DAVID,M,Fantasy,fifthelementthe,39,david-fifthelementthe
776,AMBER,F,Comedy,dropdeadgorgeous,386,amber-dropdeadgorgeous
777,DOLPHINE,F,Thriller,blackdahliathe,45,dolphine-blackdahliathe
778,GRACCHUS,,Drama,gladiator,135,gracchus-gladiator
779,FATHER,M,Romance,frankenstein,59,father-frankenstein
780,JACK,M,Thriller,afterlife,81,jack-afterlife
781,CRAWFORD,,Horror,silenceofthelambs,536,crawford-silenceofthelambs
782,MILTON,,Drama,simone,52,milton-simone
783,LARKIN,,Horror,crowsalvationthe,47,larkin-crowsalvationthe
