	Genre	actual	char	line	pred	linelength
6071	Adventure	1	ELI	how tall is king kong?	1.0	5
6072	Drama	1	ROD	dr. carlson's dead?	1.0	3
6073	Adventure	1	CARL	cross my heart.	1.0	3
6074	Action	0	VALERIE	numtoknumtok.	1.0	1
6075	Sci-Fi	0	KATHERINE	but i think there was always an unspoken regret between us. when we heard about the technology, it was like... forgive- n e s s , like a second chance. a child of our own, part of both of us. sailing trips, fishing trips, so many plans...  j o h n got cancer a year ago. he died. he r eyes mist, distant and bittersweet, talking to herself now.	1.0	69
6076	Mystery	1	BOURNE	wait 'till he's close.	1.0	4
6077	Crime	1	ELLIOT	who provided you with the description?	1.0	6
6078	Crime	1	ZACK	how far to huntsville?	1.0	4
6079	Comedy	1	BROWN	interesting.	1.0	1
6080	Crime	1	TAREK	when did she arrive?	1.0	4
6081	Drama	1	MCMURPHY	sorry, ma'am... sorry 'bout that...	1.0	5
6082	War	0	ADA	and am i the fly in this story, or the cow?	1.0	11
6083	Crime	0	CATWOMAN	hey, when a girl's desperate...	1.0	5
6084	War	0	KAREN	i'm not going to hide anything. i'm just not going to tell you. numtoknumtoknumtok.	1.0	14
6085	Adventure	0	HOLLEY	yes, right. no idling. yes, sir.	1.0	6
6086	Drama	0	GRANDMA	i just wish there was something more i could do.	1.0	10
6087	Drama	1	LEVIN	he smiled at me.	1.0	4
6088	Adventure	0	MAYA	oh yeah, sunday night. you guys been out tasting today?	1.0	10
6089	Crime	0	MOUNA	are they new? numtoknumtok	1.0	4
6090	Drama	1	WOODWARD	(to the counsel's	1.0	3
6091	Crime	1	ACE	 okay, i'll be right back.	1.0	5
6092	Drama	1	SHAKESPEARE	i don't know what you mean.   ben, we should really--	0.0	10
6093	Mystery	0	CAROL	oh, god. well, i think, you know, i think we've reached th end of the line.	1.0	16
6094	Crime	1	LIVINGSTON	can we tap into the system from the outside through the phone lines?	1.0	13
6095	Crime	1	BELL	getchmis olsun	1.0	2
6096	Crime	1	MILO	hmm?	1.0	1
6097	Romance	0	SHELLY	well, anytime, nicky. anytime.	1.0	4
6098	Adventure	1	PAPPAS	not exactly, dudes.	1.0	3
6099	Sci-Fi	1	VICTOR	look, he's a brilliant man, we should trust he's working as hard as he can. you're his best friend.  so what possible reason could he have for taking his time?  i mean, other than getting close to sue?	1.0	38
6100	Comedy	1	HENRY	you look young.	1.0	3
6101	Crime	1	BILLY	we're getting out of here.	1.0	5
6102	Comedy	1	CLAUDE	 ray... yo, ray...!	1.0	3
6103	Mystery	1	LARRY	oh, it's great. she'll have a great time.	1.0	8
6104	Adventure	1	ELI	"jake, i got a very horny leading lady who's got an early call and would like to spend some time with her boyfriend before she makes ""night-night."" now, can i please get 'em outta here before they really do something illegal...and in front of witnesses! it's three o'clock in the morning. the corridors are empty as the elevator door swings open and nina and eli step out and move down the hallway, functioning on their last ounce of nervous energy."	1.0	80
6105	Drama	1	LIONEL	don't you find it incredibly convenient that everyone who could possibly corroborate his story has recently died some exotic death?	1.0	20
6106	Fantasy	1	WIZARD	yes. there was i, floating through space - a man without a continent! cu -- dorothy --	1.0	17
6107	Mystery	1	BUD	come on.	1.0	2
6108	Drama	0	STEPHANIE	i'm here because...	1.0	3
6109	Drama	0	PAMELA	co-script-writer. i shall certainly be having my say mr. digraydi.	1.0	10
6110	Fantasy	1	STARKS	you wouldn't happen to know how he died, would you?	1.0	10
6111	Drama	1	COLIN	but you and i come from different worlds. you're like some greek goddess to me...	0.0	15
6112	Mystery	1	TEDDY	 i dunno... your wife surviving the assault... her not believing about your condition... the doubt tearing her up inside.., the insulin -	1.0	22
6113	Sci-Fi	0	RACHEL	... wave goodbye to the cares of the day and watch your boat, from hushabye mountain, sail far away from lullaby bay.	1.0	22
6114	Mystery	0	REBECCA	i'm sorry.	1.0	2
6115	Romance	1	ROCKY	yo, benny.	1.0	2
6116	Mystery	0	LILLIAN	... i've seen you so many times in the hallway, you know.. and i've always wanted to come up and say hallo.	1.0	22
6117	Sci-Fi	1	PATRICK	i can't.  i want to, but i have to study.	1.0	10
6118	Sci-Fi	1	MORPHEUS	we're in.	1.0	2
6119	Romance	1	CARL	someone might come. and if i'm not here, they won't be greeted.	1.0	12
6120	Adventure	1	FILLMORE	congratulations, man.	1.0	2
6121	Sci-Fi	1	STEVE	then suit up.	1.0	3
6122	Fantasy	0	GUENEVERE	it didn't hurt too much, did it?	1.0	7
6123	Mystery	0	JESSICA	baby, please! it's okay now. we're gonna go home!  ricky, please! somehow, the kid digs deep and finds the escalade, where his mother scoops just as-- the kitchen door bursts open and gree the yard. they spot her instantly.	1.0	39
6124	Crime	0	MADOLYN	it's not a joke, it's a human being.	1.0	8
6125	Drama	1	CURTIS	i can hear it.	1.0	4
6126	Romance	0	ZOE	i don't know. i'm just so emotional lately. it's the hormones.	1.0	11
6127	Romance	0	ANNIE	no.  not yet.	1.0	3
6128	Romance	0	CHARLOTTE	ta-da!	1.0	1
6129	Drama	0	ORLEAN	where are our supplies?	1.0	4
6130	War	1	RAFE	thank you, sir.	1.0	3
6131	Adventure	1	STEVE	don't worry, they'll come through. you can trust these guys.	1.0	10
6132	Comedy	1	BREAN	y'wanna follow the cattle drive?  sleep in the winter. what does want...?  matchmaker comes to the levinsky family.  mr. levinsky, mrs. levinsky, would you entertain an offer of marriage for your son saul, from princess margaret of great britain.  well, they think, she isn't jewish, but she's well to-do, a nice old family.  alright, yes, they say.  we would consider such an offer.  wonderful, matchmaker says, my job is half done.	1.0	71
6133	Romance	1	RYAN	i'm not the guy you'd normally want to talk to about all this stuff... but think about it - your favorite memories. the greatest moments of your life? were you alone? numtoknumtok.	1.0	32
6134	Sci-Fi	1	QUINT	 okay, scrape him up.	1.0	4
6135	Sci-Fi	1	JOHN	no, major, when the hell are we?	1.0	7
6136	Horror	0	GLORIA	so you wanted to know about the history of amityville dating back to the native americans?	0.0	16
6137	Comedy	1	CHIEF	the fate of hanukkah rests squarely on your shoulders.	1.0	9
6138	Comedy	1	ZUKERMAN	it would appear so.	1.0	4
6139	Crime	1	NEFF	but he had when you married him?	0.0	7
6140	Fantasy	1	LEOPOLD	 i'd almost forgotten how beautiful it was. truly. beautiful.	1.0	9
6141	Sci-Fi	1	FRANCIS	of course.	1.0	2
6142	Mystery	1	PRESTON	and he's not embarrassed by that.	1.0	6
6143	Crime	1	DONNIE	i forgot.	1.0	2
6144	Drama	1	DAD	ah, slight problem.	1.0	3
6145	Adventure	0	STELLA	how wide is the hallway?	1.0	5
6146	Comedy	1	BREAN	what do you know about them?	1.0	6
6147	Sci-Fi	1	RYAN	gotcha!	1.0	1
6148	War	1	MARION	how old are you?	1.0	4
6149	Drama	1	BEN	 ready to go?	1.0	3
6150	Crime	0	LOLA	i brought my own car.	1.0	5
6151	Romance	0	ANNIE	nice to see you ... bye.  yeah.  bye.	1.0	8
6152	Romance	0	GIGI	again with the sensitivity.	1.0	4
6153	Romance	1	BERNIE	i was just heading over to --	1.0	7
6154	Sci-Fi	1	WOODY	terri --	1.0	2
6155	Sci-Fi	1	RAY	robbie!!	1.0	1
6156	Drama	1	DANNY	kaddish is the prayer for the dead.	1.0	7
6157	Romance	0	LENA	...i thought i should tell you. i didn't want to get too far along on going out and be hiding something --	1.0	22
6158	Comedy	1	BIALYSTOCK	how's this?	1.0	2
6159	Romance	0	DEBBIE	shut up, pete.	1.0	3
6160	Crime	1	JOHN	this is uh... this is the uh...	1.0	7
6161	Romance	0	ESTELLE	she's sleeping in.	1.0	3
6162	Crime	0	ASHLEY	thank you.	1.0	2
6163	Romance	1	PAT	what, what's wrong?	1.0	3
6164	Comedy	1	SHANE	insects. they look nasty but they're full of nutrients that may save your life. numtoknumtok.	1.0	15
6165	Crime	1	TRAVIS	no.	1.0	1
6166	Crime	1	CAESAR	two point one seventy-six.	1.0	4
6167	Sci-Fi	1	HAL	ice man, i got a bogie on my tail. two russian migs coming in hard and fast.	1.0	17
6168	Romance	1	KRINGELEIN	yes -- and for me, it's going to leave at any minute. let's drink.	1.0	14
6169	Horror	0	GRAHAM	i don't want to do that,	1.0	6
6170	Fantasy	1	EDWARD	lie better.	1.0	2
6171	Romance	0	OLIVE	who told you?	1.0	3
6172	Mystery	0	BREE	 thank you very much.	1.0	4
6173	Horror	1	LOUIS	ain't gonna stop, gage. ain't gonna look down.	1.0	8
6174	Mystery	0	REGGIE	a quarter of a million dollars.	1.0	6
6175	Western	1	HAVEN	they want you to, mark.	1.0	5
6176	Mystery	1	ADAM	who is that?! whos in there?!  come on out! ill kill you, you motherfucker! 	1.0	14
6177	Sci-Fi	1	HELLBOY	 those things never work. never.	1.0	5
6178	Drama	1	GOKHALE	nonsense.  go on, charlie. this is indian talk -- we want none of you imperialists.	1.0	15
6179	Adventure	1	JACK	ah. then it would be a shame to put a black mark on your record. so if you'll excuse me ...	1.0	21
6180	Crime	1	REYNOLDS	i want numtoknumtoknumtok, but i want numtoknumtoknumtok in denominations of numtoknumtok.	1.0	11
6181	Crime	1	DRIVER	numtoknumtok int. living room/ irene's apartment/ echo park - night. numtoknumtok	1.0	11
6182	Comedy	1	LIONEL	probably thinks he's pretty smart.	1.0	5
6183	Crime	1	WALTER	you don't think so? what kind of answer is that?!	1.0	10
6184	Romance	1	STAINER	yes, i do, kirk! i know exactly what i'm talking about. numtoknumtok.	0.0	12
6185	Comedy	1	TED	oh fuck, there's a mistake. you're fucking wrong here. my name is theodore, yes! my mother named me that and i hate the name. but i'm a fucking bellhop. people call me ted. i work here.	1.0	36
6186	Horror	0	KELLY	a mistake.	1.0	2
6187	Mystery	1	JIMMY	but you won't.	1.0	3
6188	Romance	1	JESSE	"""california love"" by tupac  comes on and the cheerleaders start a routine."	1.0	12
6189	Crime	1	RONNIE	what plans?	1.0	2
6190	Romance	1	WILLIAM	there never will be, you know, unless you actually clean your clothes.	1.0	12
6191	Drama	1	SAM	your secretary too.  yellow and green in one bowl.  you separate the lima beans from the corn please?	0.0	18
6192	Romance	1	PAT	i am solid. i was solid at the game, dad. i'm solid, i'm solid now.	1.0	15
6193	Romance	1	WESSEX	bless me, i thought it was a horse. viola i am going to church.	1.0	14
6194	Mystery	1	KAFFEE	no, i was just watching a baseball game.	1.0	8
6195	Drama	1	HESHER	you calling me a fucking liar, dude!?	1.0	7
6196	Mystery	0	CICI	 i don't think i'm alone.	1.0	5
6197	Crime	1	MILO	case closed.	1.0	2
6198	Romance	0	TABBY	no, i mean -- you like me.	1.0	7
6199	Adventure	1	BRODY	ohhhh. . .	1.0	3
6200	Crime	1	SAUL	 what's that noise?	1.0	3
6201	Romance	1	JERRY	get rid of them!	1.0	4
6202	Fantasy	0	BELLA	i'm here.	1.0	2
6203	Comedy	1	TONY	exactly. well, that's exactly the issue. this is a state preserve.	1.0	11
6204	Romance	1	BARRY	can i ask how much is this?	1.0	7
6205	Thriller	1	SHIFTY	don't know.	1.0	2
6206	Drama	1	TREVES	what happened?	1.0	2
6207	Romance	0	SISSY	fear in wild animals is completely different from paranoia in people. in the wilderness ecosystem, fear is natural and necessary. it's merely a mechanism for maintaining life. if the cranes hadn't had a capacity for fear, they would have disappeared long ago and you'd be having to get loaded with common old everyday meadowlarks and mallards.	1.0	56
6208	Drama	0	KITTY	i have no troubles.	1.0	4
6209	Crime	1	WAYNE	my fingerprints. there was printer toner mixed with graphite on the safe. gives you a good pull, and it's untraceable.	1.0	20
6210	Sci-Fi	1	PITER	he's coming round, my lord.	1.0	5
6211	Crime	1	NICKY	it's the better automobile, no question. head and shoulders.	1.0	9
6212	Drama	0	EVE	 champion to champion.	1.0	3
6213	War	1	DHOM	that's right, sir. everybody knows galovitch started it.	1.0	8
6214	Adventure	0	MARY	my god. harry, are you okay?	0.0	6
6215	Comedy	1	RICK	 he ain't all right.	1.0	4
6216	Adventure	0	ANNA	probably john.	1.0	2
6217	Action	1	PATROLMAN	same fucking thing. he could die, and we caught him.	1.0	10
6218	Sci-Fi	1	VICTOR	oh god. justine. forgive me.	0.0	5
6219	Adventure	1	STEPHEN	what is all that confounded bellowing?	1.0	6
6220	Horror	0	MARY	 bill, why don't you ask her... she's your special friend.	1.0	10
6221	Comedy	1	WILLIAM	just, um. just stopped by to...read some pages for colette. yeah. there are no pages on the coffee table in front of william. numtoknumtok   ext. colette's garden - moments later alan steps outside. somber. focused. acts like the terminator in his scanning of the area. man on a mission. what is he looking for? he finds it almost immediately, zeroing in on colette's bench. alan marches over and grabs colette's prized framed photo of oprah. clutching it in his hand, alan looks at oprah's smiling face, then back towards the house. then he takes the frame and smashes it down on the ground as hard as he can. next he jumps up and down on the smashed frame multiple times. not satisfied, alan bends down, picks up the photo and rips it to shreds with his hands. there. that felt good. pool guy and gardener have witnessed the whole scene.    what the hell? they exchange puzzled looks. numtoknumtok   int. henry's apartment - day henry talks to the camera.	1.0	168
6222	Drama	1	MUD	just now. smooth sailin' from here on out.	1.0	8
6223	Romance	0	SHEENI	well, good, that's settled.	1.0	4
6224	Drama	1	RANDY	i thought it was gonna say randy.	1.0	7
6225	Comedy	1	CLAUDE	season tickets to the yankees. right there on the first base line.  what's wrong, baby?	1.0	15
6226	Action	0	JUDY	what's the matter?	1.0	3
6227	Romance	0	ZOE	"you just told me that if i breast- feed ""my girls"" will end up looking like empty tube socks."	1.0	19
6228	Music	1	DAVID	i clicked my heels, saluted and bowed at the same time.	1.0	11
6229	Horror	0	LISA	look i... it was just open and i .. i dunno.	1.0	11
6230	Drama	1	KENTON	why, beckett?	1.0	2
6231	Drama	1	JACK	i don't listen to it loud, alright? i just wanna hear something, okay?	1.0	13
6232	Mystery	1	EDDIE	luckily i can do that myself.	1.0	6
6233	Adventure	1	HANS	what?	1.0	1
6234	Drama	1	BEN	i'll drive you --	1.0	4
6235	Action	1	GOYAL	she's on the move. time to go.	1.0	7
6236	Drama	1	DADDY	open up, rose! procrastination won't help you!	1.0	7
6237	Drama	0	ELISE	they're going to release him.	1.0	5
6238	Comedy	0	JACKIE	i hate snails and blue cheese. especially together.	1.0	8
6239	Horror	1	DELANEY	oh yeah. i forget i have it sometimes. numtoknumtok	1.0	9
6240	Drama	0	REBA	the numtoknumtoknumtoknumtok c infrared sensitive film must be handled in total darkness. i keep the samples straight by touch code .  it's still easier to handle than a numtoknumtoknumtoknumtok series. think it'll do?	1.0	33
6241	Comedy	1	BOCK	 i don't suppose you'd like to call next of kin?	1.0	10
6242	Western	1	CLAY	mary --	1.0	2
6243	Animation	0	ELLA	and then when i saw you singing, for a second i thought...	1.0	12
6244	Drama	1	JUSTICE	huh.	1.0	1
6245	Mystery	0	JO	really!	1.0	1
6246	Drama	0	RAE	 if i break one you gonna shoot me?	1.0	8
6247	Crime	1	FRANK	now you're talkin' baby.	1.0	4
6248	Mystery	1	OLIVETTI	twenty minutes till eight, where are we headed? numtoknumtok.	1.0	9
6249	War	1	VEASEY	drugged her. like you would a butterfly. and i care for her, that' the heartbreak of it.	1.0	17
6250	Drama	0	MARILYN	are you frightened of me, colin?	0.0	6
6251	Comedy	0	MOM	i want you to get out in the fresh air and make friends. run around and scrape your knees. get dirty. climb trees and hop fences. get in trouble for crying out loud.	1.0	33
6252	Comedy	1	HENRY	i mean to say, i think fay may be jealous.	1.0	10
6253	Crime	1	SAM	sold her.	1.0	2
6254	Fantasy	1	PHIL	i got my whole body tattooed and part ied all night with some nymphomaniac biker chicks.	1.0	16
6255	Crime	1	CROCKETT	i don't understand...	1.0	3
6256	Sci-Fi	0	SUE	victor, please --	1.0	3
6257	Comedy	0	ANGELA	show him your cock, theodore.	1.0	5
6258	Mystery	1	BURROWS	that usually happens when you break a window.	1.0	8
6259	Drama	0	ROSE	i don't know him.	1.0	4
6260	Mystery	1	LOEW	dudley's rotten to the core.  he's taking over mickey cohen's rackets, his own hand-picked cops'll be the new franchise holders.  because of those pictures i won't be able to prosecute.  oh jesus pull me up!	1.0	35
6261	Adventure	1	KRISTOFF	best friend's name?	1.0	3
6262	Romance	1	RYAN	yeah, why don't you come in.	1.0	6
6263	Crime	1	SAUL	dale! you fucking nut. you're stoned and paranoid. just chill the shit out, guy!  i'm sorry, red. i shouldn't have brought this guy over here, he's a total lunatic. numtoknumtok	1.0	30
6264	Drama	0	JEZZIE	 della's party's tonight. why don't w go? it'll take your minf offa things and i won't make you dance. i promise. huh?  you still love me, jake?	1.0	27
6265	Romance	0	OLIVE	you're up, hoss.	1.0	3
6266	Adventure	1	CHUCK	"...christ! watch it, will ya?  what did you think a stunt man is? he's a professional. if the camera jams, that's another six hundred and if eli says ""try it again,"" six hundred more."	1.0	34
6267	Fantasy	1	O'CONNELL	who the hell are these guys?	1.0	6
6268	Mystery	1	ROQUE	stop talking or i'll break your neck for real.	1.0	9
6269	Drama	1	RANDY	fuck the real world. nobody gives a shit about me in the real world.	1.0	14
6270	Drama	1	WALTER	 so that's the last one you've got to show us, eddie?	1.0	11
6271	Fantasy	1	MONKEYBONE	you are too! mooning over julie when we could both be gettin' some o' this fine local action. it's not like she's gonna know. out of town, under five minutes, and in a coma don't count.	1.0	36
6272	Adventure	0	STEPHANIE	anything but the jayer richebourg!	1.0	5
6273	Romance	1	MARK	that's not the point. we're just not in love anymore.	1.0	10
6274	Mystery	1	BILL	well, he's got legal problems. richie was sentenced by the court to mandatory treatment.	1.0	14
6275	Fantasy	1	PAUL	let's move along briskly, folks. there's not much time.	1.0	9
6276	War	0	KAREN	you think of everything, don't you, sergeant?	1.0	7
6277	Romance	1	DAVID	 oh no.  not at all.	1.0	5
6278	Horror	1	PASCOW	timmy baterman. that was wrong.	1.0	5
6279	Crime	0	ISABELLA	you said time is luck...	1.0	5
6280	Adventure	1	GRU	oh, lucy!	1.0	2
6281	Crime	0	NUN	as i have prayed day and night since the desecration of this church yesterday morning -- and my sin. you see, father --	1.0	23
6282	Crime	1	RUDY	might as well be.	1.0	4
6283	Drama	1	GALVIN	 i'm sorry...?	1.0	2
6284	Crime	0	PHYLLIS	just who are you talking about?	1.0	6
6285	War	1	ALBERT	do you know - i believe we can do it, joey. i knew when i first saw you that you'd be the best of us. that's why he bought you. he knows you've all the courage he never had. i knew when i first saw you that you'd be the one who'd save us.	1.0	54
6286	Mystery	0	EMILY	would you ask him to join us?	1.0	7
6287	Sci-Fi	1	DODONNA	 red leader, this is base one. keep half your group out of range for the next run.	1.0	17
6288	Crime	1	MILES	i think a nursery should be right off the master suite. my parents put mine in the guest house. apparently they did have a fisher price intercom, but my mother turned it off when i was seven months old because i was so --	1.0	44
6289	Romance	1	JOHN	numtoknumtoknumtok. numtoknumtoknumtok numtoknumtoknumtok continued: 	1.0	4
6290	Crime	0	MAID	oops. no one told me it was uncrackable.	0.0	8
6291	Drama	0	DEBBIE	wait a second.	1.0	3
6292	Drama	1	FORREST	...and the rest is just for showing off. so, i gave a whole bunch of it to the four square gospel church.	1.0	22
6293	Adventure	1	ROBIN	under the sheriff's law, that's a badge of pride.	1.0	9
6294	Romance	0	TIFFANY	 she said to show her something, pat. this dance can be that something. you would have never done something like this in a million years. it shows all kinds of skills on so many different levels: focus, collaboration, discipline. it's romantic, like i said it would be. it's for her.	1.0	50
6295	Romance	1	LANDON	-- it blows.	1.0	3
6296	Romance	0	SHAUNA	but, lovable. you are very lovable.	1.0	6
6297	Crime	1	DADE	i know, i know who wrote it.	1.0	7
6298	Drama	1	SEFELT	it's the dilantin that makes my gums soft!	1.0	8
6299	Drama	1	WHIP	you're useless evans, shit!  numtoknumtok. center. this is southjet numtoknumtoknumtok, we've encountered some bad air here. some pretty severe downdrafts. we're in our climb now.	1.0	25
6300	Drama	0	ELIZABETH	good.	1.0	1
6301	Drama	1	DUSSANDER	you must be at the window, yes?  as you can see i had it barred a few years ago.  a bad element started to move into the neighborhood, you know how it is.	1.0	33
6302	Romance	1	WILLS	time cannot break the bird's wing from the bird. bird and wing together go down, one feather. no thing that ever flew, not the lark, not you, can die as others do.	1.0	32
6303	Romance	0	KAREN	mr. thacker.	0.0	2
6304	Drama	1	SHAPIRO	mark guthrie?	1.0	2
6305	Horror	1	ANDY	means makeup, right ?	1.0	4
6306	Drama	1	CHARLES	no!	1.0	1
6307	Crime	0	CYNTHIA	you go to jail.	1.0	4
6308	Drama	1	MUD	i need you to take this to juniper.	1.0	8
6309	Sci-Fi	1	KEVIN	need a vacuum sir?	1.0	4
6310	Romance	0	ANNE	what's the matter?	1.0	3
6311	Fantasy	1	HECTOR	how do we land these things? numtoknumtoknumtok   int. coffee shop - day the only place the small town has to offer is a deserted coffee shop on the shorefront. hector, betsy and thomas sit at a corner table, beyond them through the window is the beach and the ocean.	1.0	49
6312	Drama	1	COLIN	yes.	1.0	1
6313	Romance	0	CHARLOTTE	stoned.	1.0	1
6314	Romance	1	LANDON	wait a sec. numtoknumtoknumtok.	1.0	4
6315	Crime	1	MARSHALL	and where would you be but at the exact same place you are now. it is not your fault, earl. part of your problem with her is that you always think it is.	1.0	33
6316	Romance	0	ALEX	i thought our relationship was perfectly clear. you're...	1.0	8
6317	Crime	1	JACK	what about my neck?	1.0	4
6318	Drama	1	BILL	i'll take her off. where's the throttle?	1.0	7
6319	Romance	0	JULIANNE	 god, it is toothpaste, they should sell this stuff commercially! anyway, a girl does need her...	1.0	16
6320	Mystery	0	NANCY	till we find a suitable foster home.	1.0	7
6321	Drama	1	HESHER	written by spencer susser & david michod july numtokth, numtoknumtoknumtoknumtok	1.0	10
6322	Crime	0	REPORTER	zerhouni is also wanted by police for questioning regarding a robbery last night at the home of alleged mafia member frankie zammito.	1.0	22
6323	Comedy	0	MURIEL	you certainly have a lovely place here, mr. hackett.	1.0	9
6324	Romance	0	CHARLOTTE	are you awake?	1.0	3
6325	Drama	1	RUDY	my father.	1.0	2
6326	Drama	1	JACK	i don't tell anyone anything... i just listen.	1.0	8
6327	Adventure	1	BODHI	doesn't matter now.  we're almost there, man.  here, let me help you get your gear on.	1.0	16
6328	Crime	1	GENE	i'm not dragging you into anything. i don't expect...	1.0	9
6329	Crime	1	BUDD	what?	1.0	1
6330	Action	1	GOEED	 you almost got me killed.  twice.	1.0	6
6331	Fantasy	1	KNIGHT	i see that they have hurt your hands.	1.0	8
6332	Crime	1	COLIN	frank, frank, do they know about me?	0.0	7
6333	Adventure	1	LOUIS	you have prayed too much.  your mind is weak.	1.0	9
6334	Crime	1	ERIC	[cotton.]	1.0	1
6335	Mystery	0	HELENA	i don't want them to arrest you.	1.0	7
6336	Romance	0	OLIVE	it was make-believe and no one was getting hurt. but a lot of people hate me now. i kind of hate me, too.	1.0	23
6337	Comedy	1	DUKE	how long do i have?	1.0	5
6338	Comedy	1	FISHER	not yet.	1.0	2
6339	Romance	1	HENSLOWE	how refreshing.	1.0	2
6340	Adventure	1	HAROLD	we're so high right now.	1.0	5
6341	Romance	1	JACQUES	 hey!  presents.	1.0	2
6342	Drama	1	SCOTT	i'm taking giambi's spot at first? what about the fans?	1.0	10
6343	Drama	1	WELLES	my factotum, ally and comrade-in-arms	1.0	5
6344	Crime	1	ACE	...and nicky's dedication to his job...	1.0	6
6345	Horror	0	NANCY	good, i've ordered it. they'll bring it over soon.	1.0	9
6346	Mystery	1	POLICEMAN	uh, yeah.  probably a vagrant, slept in the car.  or perhaps just used it as a toilet, and moved on.	1.0	20
6347	Crime	1	FREDO	 jeeze, it's great you came along, mike... you know, we've never spent a night out on the town together. i always thought you looked down on me for liking a good time.	1.0	32
6348	Fantasy	1	PAINTER	it's worse than that.	1.0	4
6349	Drama	1	SHAKESPEARE	the herald just finished it not an hour ago.  well? everyone is confused by it.	1.0	15
6350	Mystery	0	CARRIE	all this crap on -- i prefer naked.	1.0	8
6351	Crime	0	MAI	is she here?	1.0	3
6352	Drama	1	NECKBONE	well if you're gonna do it do it! mud takes a deep breath and yanks the cord. angled on one of the main branches holding up the boat, mud begins cutting. ellis and neckbone step further and further back as they watch the chainsaw work through the thick limb. suddenly, the chainsaw stops. a deep cracking sound. the huge branch snaps, tumbling off lower limbs before crashing to the ground. mud holds onto the trunk for dear life. the branch now rests on the ground, silence. the ropes and pulleys hang taught, squeaking from the weight of the boat. mud slowly lifts his head up. he smiles at what he sees. the rigging has held.	1.0	115
6353	Adventure	1	ROBIN	hold!... i am curious as to what manner of creature is so fearsom that it takes six men to attack it.	1.0	21
6354	Drama	0	JANE	 dad. mom's waiting for you.	1.0	5
6355	Mystery	0	SARAH	what character?  i'm candy, the chick who gets killed second.  i'm only in two scenes!	1.0	15
6356	Action	1	QUINTUS	general, i don't recommend that. our cavalry might be caught in the flames.	1.0	13
6357	Sci-Fi	1	CREATURE	...but i simply returned the object which had triggered my crime, hoping in some small way to atone...	1.0	18
6358	Comedy	1	SHELDRAKE	what is it?	1.0	3
6359	Romance	0	ANNIE	it doesn't mean anything.  it was written before i went out there.  before the ho.	1.0	15
6360	Comedy	0	RACHEL	nothing.  look, i want to talk to you about...well...luke said to ask you... jackie's edge sharpened by rachel's unease.	0.0	19
6361	Mystery	0	GALE	shit!	1.0	1
6362	Sci-Fi	1	GURNEY	not sorry enough. numtoknumtokb. shield effect - the fight	1.0	9
6363	Mystery	1	JENSEN	drive should be in the computer room, two skylights over.	1.0	10
6364	Mystery	0	JO	do you know what a code red is?	1.0	8
6365	Western	1	FOWLER	my name's fowler. i'm camped up a ways.	1.0	8
6366	Drama	1	REFEREE	... seven... eight... nine...	1.0	4
6367	Romance	0	ALISON	 i actually was just wondering if maybe you, wanted to get together, like tomorrow night?	1.0	15
6368	Mystery	1	DEWEY	a trilogy?	1.0	2
6369	Sci-Fi	1	WILL	we can't just leave him here.	1.0	6
6370	Mystery	1	PARRISH	yer damn right.	1.0	3
6371	Crime	1	EMILIO	read this!	1.0	2
6372	Romance	0	PATTY	it's better if she tells you but if you can't deal with it, just get lost now and don't put her through that heartbreak again.	1.0	25
6373	Romance	1	STAINER	kirk, marnie's a fuckin' bitch.  all due respect.	1.0	8
6374	Crime	1	DIVINCI	fuckin' animals.	1.0	2
6375	Adventure	1	MILES	no, i did not. must have been gary at the hitching post. i think we mentioned it to him the first night.	1.0	22
6376	Romance	1	ROB	yeah.	1.0	1
6377	Crime	1	THOMAS	yeah? ... okay, martino, let's stop the bullshit ... what? ... okay, i'm listening.	1.0	14
6378	Romance	1	HENSLOWE	yes, but very well.	1.0	4
6379	Horror	0	GRAHAM	i'm a forensic specialist, molly. you've seen my diploma?  i got a diploma and everything.	1.0	15
6380	Mystery	1	WALTER	i can't drive, dude, it's erev shabbas.	1.0	7
6381	Romance	1	WILL	and so juliet takes his dagger and kills herself.	1.0	9
6382	Mystery	1	JEFFREY	dorothy! ... dorothy!	1.0	3
6383	Drama	0	RITA	sam it's me!  open up!	0.0	5
6384	Fantasy	1	PHIL	you weren't interested.	1.0	3
6385	Sci-Fi	1	REESE	sarah? numtoknumtoknumtok     connecting offices                                     numtoknumtoknumtok numtoknumtoknumtok     int. office                                            numtoknumtoknumtok	1.0	9
6386	Comedy	1	LUKE	 jackie, you've made mistakes -- we all make mistakes --	0.0	10
6387	Drama	0	HEDRA	yeah, i never know what looks good.	1.0	7
6388	Romance	1	EDWARD	please, please.	1.0	2
6389	Romance	0	BETH	 fuckin' nick...	1.0	2
6390	Drama	0	CASEY	yes!	1.0	1
6391	Comedy	1	SIMON	i don't know.	1.0	3
6392	Comedy	1	PEDELFORD	 mm-hmm.	1.0	1
6393	Comedy	0	DEBBIE	what?	1.0	1
6394	Sci-Fi	0	MARLENE	helping hand acceptance corporation, marlene speaking.	0.0	6
6395	Adventure	1	GRUG	hey!	1.0	1
6396	Mystery	0	JO	thank you.	1.0	2
6397	Crime	1	SCOTT	he did okay.	1.0	3
6398	Romance	0	DOLLY	just as handsome and charming as ever. and still up to the same old tricks.	0.0	15
